LD_001931,Gaabor PH,LD01941,,,,Gaabor,3C,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001932,HAN RIVER,LD01942,,,,hanriver,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001933,JOYROOM Official VN,LD01943,,,,HONG KONG JOYROOM INDUSTRY LIMITED,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001934,HONOR Thailand Official,LD01944,,,,Honor,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_001935,Jiditech.MX,LD01945,,,,JIDITECH LIMITED,3C,HIPO靶向商家,CNOB,Electronics,Mobile Phone Accessories,,NULL,7496057385627716427,NULL,NULL,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001936,JiditechPH,LD01946,,,,Jiditech（聚合）,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001937,Bravhom,LD01947,,,,Kadonio（聚合）,Home&Living,HIPO靶向商家,CNOB,Automotive & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001938,SKGOfficial,LD01948,,AM招商推进,,SKG,3C,HIPO靶向商家,CNOB,Beauty & Personal Care,Personal Care Appliances,,T3,7495634387051776152,3C,panlin.888,AM,,胡思倩,更换主体中,S,/,,是,4-入驻中,SKG欧盟冲冲冲,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_001939,SoundAI Future,LD01949,,,,SoundAI Microchips Limited,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Audio & Video,,T1,7496262839473047822,3C,wanglizhen.321,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001940,HOTGT,LD01950,必招 7 月,,,长沙豹麦科技有限公司,3C,HIPO靶向商家,CNOB,Household Appliances,Kitchen Appliances,,T3,7496154400770066513,3C,yangyuhui,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496043039117903892,7496043039117903892,,,,,,7496043039117903892,已填写,2025-03-31,2.hipo,1,0,0,,T0,2025-03-26,2.hipo,1,1,1,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
