LD_007641,ACORRA shop,LD07691,,AM招商推进,,/,Home&Living,/,/,Home Supplies,Home Decor,,T3,7495977471739922717,日用家纺,wangchangli,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,"王长利, 宣, 刘雨欣, 张群(Changli Wang, tk, Lyric Liu, 张群)",,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007642,Hieha Ebike,LD07692,,AM招商推进,,/,Home&Living,/,/,Automotive & Motorcycle,Leisure & Outdoor Recreation Equipment,,T3,7494089543940278120,汽摩工具,liyanqiu.tk,AM,,王妙辰,/,/,/,,是,5-已入驻,,,,,,,7494089374898488798,,,,,,,,已填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007643,Cleabrit,LD07693,,AM招商推进,,/,Home&Living,/,/,Home Supplies,Home Care Supplies,,T4,7494245313348208442,日用家纺,tian,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007644,Costoffs Shop,LD07694,,AM招商推进,,/,Home&Living,/,/,Furniture,Outdoor Furniture,,T4,7496309964280465454,家具家装,hanxiao.smiley,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007645,Tankaneo,LD07695,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,王蓝婧,T4,7494301050366887648,服饰服配,tongjing.1019,AM,,谢冰沁Bibi,/,/,/,,是,5-已入驻,,,,,,,,7496106690563115651,,,,,,,已填写,,,,,,,,2025-03-03,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_007646,SuperDealUsa,LD07696,,AM招商推进,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T4,7495843282520017110,运动潮奢,wanwan.888,AM,,周洋,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007647,Cozy Crate,LD07697,,,,/,Home&Living,/,/,#N/A,/,,T4,7496136006899107943,日用家纺,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007648,Yousify Fashion,LD07698,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,王蓝婧,T4,7494103131724482306,服饰服配,tongjing.1019,AM,,谢冰沁Bibi,子不语,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007649,GOUNODShop,LD07699,,AM招商推进,fashion自补,/,Fashion,/,/,Sports & Outdoor,/,马思宇,T4,7494482012043184435,运动潮奢,wanwan.888,AM,,张玲,/,/,/,,否,1-待触达,,,,,,,7494482012043184435,7494482012043184435,,,,,,,已填写,,3.other,0,0,0,,T0,2026-03-13,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_007650,XB home appliances,LD07700,,AM招商推进,,/,3C,/,/,Household Appliances,Kitchen Appliances,,T4,7495760930993244771,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
